,imdbid,year,rating,id,title,Wikipedia movie ID,Freebase movie ID,Movie name,Movie box office revenue,Movie runtime,result,genres,countries,languages,female_actor_ratio,male_actor_ratio,female_actresses,male_actors
0,392728.0,1888,0,8040,Roundhay Garden Scene,1082508,/m/044ggd,Roundhay Garden Scene,,0.03,0,"Short Film, Silent film, Indie, Black-and-white",United Kingdom,Silent film,0.5,0.5,2,2
1,241373.0,1891,0,9626,Dickson Greeting,644824,/m/02_1qn,Dickson Greeting,,0.05,0,"Short Film, Indie",United States of America,,,,0,1
2,5.0,1893,0,9583,Blacksmith Scene,73372,/m/0jq3g,Blacksmith Scene,,0.566666666667,0,"Short Film, Silent film, Indie, Black-and-white",United States of America,Silent film,,,0,2
3,8.0,1894,0,9652,Edison Kinetoscopic Record of a Sneeze,1090697,/m/025rqhg,Fred Ott's Sneeze,,0.0833333333333,0,"Short Film, Silent film, Indie, Black-and-white, Documentary",United States of America,Silent film,,,0,1
4,177707.0,1894,0,9654,Dickson Experimental Sound Film,786716,/m/03c6bq,Dickson Experimental Sound Film,,0.0,0,Short Film,United States of America,English Language,,,0,1
5,7.0,1894,0,9656,Corbett and Courtney Before the Kinetograph,10104497,/m/02q1zd3,Corbett and Courtney Before the Kinetograph,,,0,"Short Film, Silent film, Indie, Black-and-white",United States of America,Silent film,,,0,1
6,132134.0,1895,0,6200,"Execution of Mary, Queen of Scots, The",8754949,/m/027hl3r,The Execution of Mary Stuart,,1.0,0,"Short Film, History, Silent film, Indie, Black-and-white",United States of America,,,,0,1
7,91.0,1896,0,4982,"House of the Devil, The",4062042,/m/0bg4qm,Le Manoir du diable,,3.0,0,"Short Film, Silent film, Horror, Indie, Black-and-white",France,,0.5,0.5,1,1
8,223341.0,1896,0,5445,La fee aux choux,807258,/m/03dglc,La Fée aux Choux,,1.0,0,"Silent film, Indie, Black-and-white, Short Film, Fantasy, Family Film",France,,1.0,0.0,3,0
9,135696.0,1898,0,4978,Four Heads Are Better Than One,23804620,/m/06_xkj6,Un homme de têtes,,1.0,0,"Short Film, Comedy film",France,,,,0,1
10,230.0,1899,3,5914,Cinderella,26071595,/m/0b6jn8h,Cinderella,,6.0,1,"Short Film, Drama",France,,0.5,0.5,2,2
11,300.0,1900,0,4271,"Enchanted Drawing, The",12531485,/m/02wbsyx,The Enchanted Drawing,,2.0,0,"Short Film, Silent film, Indie, Black-and-white",United States of America,English Language,,,0,1
12,439.0,1903,0,1319,"Great Train Robbery, The",73919,/m/0jsj6,The Great Train Robbery,,12.0,0,"Short Film, Western, Silent film, Black-and-white, Indie",United States of America,English Language,,,0,3
13,135180.0,1903,0,5002,"Infernal Boiling Pot, The",9569532,/m/02pkc6k,The Infernal Boiling Pot,,1.0,0,"Short Film, Silent film, Horror, Indie, Black-and-white",France,Silent film,,,0,1
14,574.0,1906,1,1349,"Story of the Kelly Gang, The",142995,/m/0120y4,The Story of the Kelly Gang,,70.0,0,"Crime Fiction, Silent film, Biography, Indie, Black-and-white, Drama, Biographical film",Australia,English Language,0.3333333333333333,0.6666666666666667,1,2
15,554.0,1906,0,5435,Humorous Phases of Funny Faces,1081565,/m/044csj,Humorous Phases of Funny Faces,,3.0,0,"Silent film, Indie, Black-and-white, Animation, Short Film, Comedy",United States of America,,,,0,1
16,215737.0,1907,0,5223,"Eclipse: Courtship of the Sun and Moon, The",14567007,/m/03d8347,L'éclipse du soleil en pleine lune,,6.0,0,"Short Film, Silent film, Fantasy, Romance Film",France,,,,0,1
17,1009.0,1909,2,4409,"Princess Nicotine; or, The Smoke Fairy",789992,/m/03cd6t,Princess Nicotine,,5.0,0,"Silent film, Indie, Black-and-white, Short Film, Comedy, Fantasy Comedy",United States of America,English Language,0.5,0.5,1,1
18,2101.0,1912,2,2003,Cleopatra,19236804,/m/04lghwf,Cleopatra,,88.0,0,"History, Silent film, Drama",United States of America,English Language,0.4,0.6,6,9
19,3424.0,1913,0,5915,Suspense,17860504,/m/047f1cs,Suspense,,10.0,0,"Short Film, Silent film, Drama, Black-and-white",United States of America,"Silent film, English Language",0.5,0.5,1,1
20,3973.0,1914,2,4457,A Florida Enchantment,1498916,/m/05641f,A Florida Enchantment,,63.0,0,"LGBT, Silent film, Indie, Black-and-white, Comedy",United States of America,English Language,0.5,0.5,2,2
21,4972.0,1915,2,1258,"Birth of a Nation, The",3333,/m/0151l,The Birth of a Nation,50000000.0,190.0,0,"Silent film, Indie, Costume drama, Epic, Black-and-white, Drama, War film",United States of America,"Silent film, English Language",0.42857142857142855,0.5714285714285714,6,8
22,7507.0,1916,0,5368,"Vagabond, The",2561024,/m/07n3pj,The Vagabond,,24.0,0,"Silent film, Melodrama, Indie, Comedy-drama, Black-and-white, Short Film, Comedy, Slapstick",United States of America,English Language,0.3333333333333333,0.6666666666666667,1,2
23,6864.0,1916,0,5944,Intolerance: Love&#39;s Struggle Throughout the Ages,189862,/m/019zmp,Intolerance,,197.0,0,"Silent film, Melodrama, Indie, Epic, Black-and-white, Drama, Historical Epic",United States of America,English Language,0.5263157894736842,0.4736842105263158,10,9
24,7361.0,1916,3,7004,Snow White,2826225,/m/08556y,Snow White,,63.0,1,"Silent film, Fantasy, Indie, Black-and-white",United States of America,"Silent film, English Language",0.4,0.6,2,3
25,8499.0,1917,3,1993,Rebecca of Sunnybrook Farm,3344145,/m/096wbj,Rebecca of Sunnybrook Farm,,78.0,1,"Silent film, Indie, Comedy-drama, Black-and-white, Drama, Comedy",United States of America,English Language,0.7,0.30000000000000004,7,3
26,8443.0,1917,3,1994,"Poor Little Rich Girl, The",76016,/m/0k2s6,Poor Little Rich Girl,,65.0,1,"Silent film, Indie, Comedy-drama, Black-and-white, Drama, Comedy",United States of America,English Language,0.4444444444444444,0.5555555555555556,4,5
27,8519.0,1917,0,2015,A Romance of the Redwoods,14632340,/m/03grbll,A Romance of the Redwoods,,70.0,0,"Silent film, Melodrama, Indie, Black-and-white, Western, Drama, Romance Film",United States of America,"Silent film, English Language",1.0,0.0,1,0
28,8489.0,1917,2,2019,"Raffles, the Amateur Cracksman",25731303,/m/09v78w_,Raffles The Amateur Cracksman,,70.0,0,Silent film,United States of America,,0.4,0.6,2,3
29,9682.0,1918,3,1996,Tarzan of the Apes,4791224,/m/0cnh99,Tarzan of the Apes,,73.0,1,"Silent film, Action, Indie, Black-and-white, Adventure",United States of America,English Language,0.2,0.8,1,4
30,9652.0,1918,3,2007,Stella Maris,18964723,/m/04jm3my,Stella Maris,,84.0,1,"Silent film, Drama, Comedy, Black-and-white",United States of America,"Silent film, English Language",0.8,0.19999999999999996,4,1
31,8844.0,1918,0,5441,Are Crooks Dishonest?,14318882,/m/03d0d11,Are Crooks Dishonest?,,13.0,0,"Short Film, Silent film, Indie, Black-and-white, Comedy",United States of America,"Silent film, English Language",,,0,1
32,10281.0,1918,3,7108,Ich mochte kein Mann sein,19493926,/m/04n12m1,I Don't Want to Be a Man,,45.0,1,"Short Film, Comedy film, Romance Film",Germany,German Language,0.4,0.6,2,3
